Brand,Nama Produk,Harga Asli,Harga Diskon,Diskon Persen,Link,Gambar,Material Atas,Material Dalam,Material Sol,Pengikat
ADIDAS,adidas gazelle shoes,Rp 1.700.000,,,https://www.zalora.co.id/p/adidas-adidas-gazelle-shoes-grey-4493301,https://dynamic.zacdn.com/Sak0guKEUBGPfdjdr6MEw7ib2Fg=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/adidas-3792-1033944-1.jpg,: Kulit,: Kulit,: Karet,: Tali
ADIDAS,Duramo RC Shoes,Rp 850.000,Rp 680.000,-20%,https://www.zalora.co.id/p/adidas-duramo-rc-shoes-black-4500765,https://dynamic.zacdn.com/d3yo2hKwNdrwH0p-bdQZjhsCKss=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/adidas-6369-5670054-1.jpg,: Mesh,: Textile,: Adiwear Rubber,: Tali
ADIDAS,SL 72 RS Shoes,Rp 1.600.000,,,https://www.zalora.co.id/p/adidas-sl-72-rs-shoes-multi-4772902,https://dynamic.zacdn.com/G4uOeLCDZNUWPiiV9q9G6FdjBR0=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/adidas-0817-2092774-1.jpg,": Textile, Leather",: Textile,: Rubber,: Tali
ADIDAS,SL 72 RS Shoes,Rp 1.600.000,Rp 1.360.000,-15%,https://www.zalora.co.id/p/adidas-sl-72-rs-shoes-black-4440921,https://dynamic.zacdn.com/12wHPpcb8R1vsNLvU-a_OEIBm8c=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/adidas-0136-1290444-1.jpg,: Nylon/Suede,: Textile,: Rubber,: Tali
ADIDAS,Stan Smith Cs Shoes,Rp 1.700.000,Rp 1.360.000,-20%,https://www.zalora.co.id/p/adidas-stan-smith-cs-shoes-purple-4381955,https://dynamic.zacdn.com/DJutFPSYzcoNz9VJmvQdpfJsAZ4=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/adidas-9757-5591834-1.jpg,: Suede Leather,: Textile,: Rubber,: Tali
ADIDAS,SL 72 RS Shoes,Rp 1.600.000,Rp 1.360.000,-15%,https://www.zalora.co.id/p/adidas-sl-72-rs-shoes-grey-4440920,https://dynamic.zacdn.com/EzBO_N3SdtiFIlAXRKvPF8QYkfU=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/adidas-7667-0290444-1.jpg,: Nylon/Suede,: Synthetic,: Rubber,: Tali
ADIDAS,Grand Court Cloudfoam Comfort Shoes,Rp 1.100.000,,,https://www.zalora.co.id/p/adidas-grand-court-cloudfoam-comfort-shoes-white-4147969,https://dynamic.zacdn.com/GXIGyl25noh6Sq1B1_UdoRs32Ic=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/adidas-4385-9697414-1.jpg,-,-,-,: Tali
ADIDAS,gazelle shoes,Rp 1.700.000,Rp 663.000,-61%,https://www.zalora.co.id/p/adidas-gazelle-shoes-orange-4493335,https://dynamic.zacdn.com/n-p_LDoS6-uDUVf-7AtbQUhSxJo=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/adidas-5642-5333944-1.jpg,: Suede,: Textile,: Rubber,-
ADIDAS,Response Shoes,Rp 1.200.000,Rp 720.000,-40%,https://www.zalora.co.id/p/adidas-response-shoes-white-4719933,https://dynamic.zacdn.com/kZ7RLkWRhQ0vr8HvYJUEk1VM_iY=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/adidas-6458-3399174-1.jpg,: Mesh,: Tekstil,: Rubber,: Tali
ADIDAS,campus 00s shoes,Rp 1.700.000,Rp 1.020.000,-40%,https://www.zalora.co.id/p/adidas-campus-00s-shoes-red-4404236,https://dynamic.zacdn.com/xFHu_Id9znS88SSWDNoTrh7ksyo=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/adidas-3685-6324044-1.jpg,: Leather,: Terry Textile,: Rubber,: Tali
ADIDAS,ADIDAS Marvel Runfalcon Spider-Man El I IH8758 - Sepatu Anak (Merah),Rp 750.000,,,https://www.zalora.co.id/p/adidas-adidas-marvel-runfalcon-spider-man-el-i-ih8758-sepatu-anak-merah-red-4976710,https://dynamic.zacdn.com/WO4dPTciF8htPBrLUYxQQUGul2E=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/adidas-4241-0176794-1.jpg,-,-,-,-
ADIDAS,Ultraboost 1.0 Shoes,Rp 3.300.000,Rp 2.900.000,-12%,https://www.zalora.co.id/p/adidas-ultraboost-1-0-shoes-black-4148273,https://dynamic.zacdn.com/fpnwZJIGeTxMa-Lo6cwv_C7aZyQ=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/adidas-5078-3728414-1.jpg,: PRIMEKNIT,: Textile,: Rubber,: Slip On
ADIDAS,Handball Spezial Shoes,Rp 1.700.000,Rp 1.360.000,-20%,https://www.zalora.co.id/p/adidas-handball-spezial-shoes-brown-4794024,https://dynamic.zacdn.com/UmElip47uzZh8Tgk7cs6TunrcOE=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/adidas-9731-4204974-1.jpg,: Leather,: Textile,: Rubber,: Tali
ADIDAS,forum low cl shoes,Rp 1.850.000,Rp 1.357.500,-27%,https://www.zalora.co.id/p/adidas-forum-low-cl-shoes-blue-4404296,https://dynamic.zacdn.com/l644Yn9MdoVjfKdcUVAPotgnHZs=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/adidas-3713-6924044-1.jpg,: Leather and Cracked Leather,: Textile,: Rubber,: Tali
ADIDAS,Forum Low Shoes,Rp 1.800.000,Rp 1.440.000,-20%,https://www.zalora.co.id/p/adidas-forum-low-shoes-blue-4404741,https://dynamic.zacdn.com/O904FJaOEa9jNZrTSxQtdNc5foQ=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/adidas-2412-1474044-1.jpg,": Leather, Suede and Coated Leather",: Textile,: Rubber,: Tali
