Brand,Nama Produk,Harga,Harga Diskon,Diskon Persen,Link,Gambar,Material Atas,Material Dalam,Material Sol,Pengikat
Converse,Chuck Taylor 70's - Hi,Rp 1.299.000,Rp 772.905,-41%,https://www.zalora.co.id/p/converse-chuck-taylor-70-s-hi-black-1609387,https://dynamic.zacdn.com/0gprAdM6B3lb1V3nDQ8a1KuFhi0=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/converse-3528-7839061-1.jpg,: Canvas,: Textile,: Rubber,: Tali
Converse,Chuck Taylor 70's - Ox,Rp 1.199.000,Rp 863.280,-28%,https://www.zalora.co.id/p/converse-chuck-taylor-70-s-ox-white-1609386,https://dynamic.zacdn.com/6L4-OrLJFQopyBQYFOOe48oX7XA=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/converse-4036-6839061-1.jpg,: Canvas,: Textile,: Rubber,: Tali
Converse,Chuck Taylor All Star Canvas - Ox,Rp 859.000,Rp 584.120,-32%,https://www.zalora.co.id/p/converse-chuck-taylor-all-star-canvas-ox-black-2346612,https://dynamic.zacdn.com/oa-smPhLnMZPt1Tjx_jSwGBIFR0=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/converse-3945-2166432-1.jpg,: Canvas,: Synthetic,: Rubber,-
Converse,Chuck Taylor All Star Canvas - Ox,Rp 859.000,Rp 549.760,-36%,https://www.zalora.co.id/p/converse-chuck-taylor-all-star-canvas-ox-white-2040549,https://dynamic.zacdn.com/YpNe7j2jsY0wl48tvTGFicTDOTM=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/converse-9987-9450402-1.jpg,: Canvas,: Textile,: Rubber,: Tali
Converse,Chuck Taylor All Star Canvas - Hi,Rp 899.000,Rp 611.320,-32%,https://www.zalora.co.id/p/converse-chuck-taylor-all-star-canvas-hi-black-2346613,https://dynamic.zacdn.com/NWc-oiH5Xrd1ZaJxo0rPc-vhn1A=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/converse-3600-3166432-1.jpg,: Canvas,: Synthetic,: Rubber,: Tali
Converse,Chuck Taylor All Star Canvas - Hi,Rp 899.000,Rp 575.360,-36%,https://www.zalora.co.id/p/converse-chuck-taylor-all-star-canvas-hi-white-2040550,https://dynamic.zacdn.com/r3ndzKgY25dUrWDyhrj838livg8=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/converse-9988-0550402-1.jpg,: Canvas,: Textile,: Rubber,: Tali
Converse,Chuck Taylor 70's - Hi,Rp 1.299.000,Rp 883.320,-32%,https://www.zalora.co.id/p/converse-chuck-taylor-70-s-hi-white-2976467,https://dynamic.zacdn.com/w3ZPqYKbSnpg9i_I1VC5Rz4f83E=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/converse-4834-7646792-1.jpg,: Canvas,: Textile,: Rubber,: Tali
Converse,Chuck Taylor All Star Move,Rp 1.199.000,Rp 815.320,-32%,https://www.zalora.co.id/p/converse-chuck-taylor-all-star-move-white-3094400,https://dynamic.zacdn.com/kAniRrn2K0R_L_aPAhWPJpxmQDk=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/converse-4295-0044903-1.jpg,: Canvas,: Textile,: Rubber,: Tali
Converse,Chuck Taylor All Star Loafers,Rp 1.199.000,Rp 1.019.150,-15%,https://www.zalora.co.id/p/converse-chuck-taylor-all-star-loafers-black-4919739,https://dynamic.zacdn.com/fFyESWaCWb6u1miRKK_f3eMKQ4s=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/converse-7660-9379194-1.jpg,: Suede,: Textile,: Rubber,: Slip On
Converse,Chuck Taylor All Star Move,Rp 1.199.000,Rp 815.320,-32%,https://www.zalora.co.id/p/converse-chuck-taylor-all-star-move-black-3094399,https://dynamic.zacdn.com/3oaGJ8lNOcsSybULfKwvJcAz0lE=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/converse-6026-9934903-1.jpg,: Canvas,: Textile,: Rubber,: Tali
Converse,Chuck Taylor All Star,Rp 1.099.000,Rp 934.150,-15%,https://www.zalora.co.id/p/converse-chuck-taylor-all-star-black-4822184,https://dynamic.zacdn.com/shcIK5OHgkQ5v984HDD_0AMupLU=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/converse-2834-4812284-1.jpg,: Kanvas,: Tekstil,: Rubber,: Tali
Converse,Chuck Taylor All Star - Hi,Rp 1.299.000,Rp 831.360,-36%,https://www.zalora.co.id/p/converse-chuck-taylor-all-star-hi-black-3093422,https://dynamic.zacdn.com/rKb_TrTArNOHeDrfx0KT1MNfGQU=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/converse-6201-2243903-1.jpg,: Leather,: Textile,: Rubber,: Tali
Converse,Chuck Taylor All Star 1V Sneakers,Rp 599.000,Rp 479.200,-20%,https://www.zalora.co.id/p/converse-chuck-taylor-all-star-1v-sneakers-white-4941012,https://dynamic.zacdn.com/Vn5YR911_c98_-lWH2kBYxe5UCI=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/converse-2108-2101494-1.jpg,: Textile,: Textile,: Rubber,-
