Brand,Nama Produk,Harga,Link,Gambar
Nike,Killshot 2 Shoes,Rp 1.124.250,https://www.zalora.co.id/p/nike-killshot-2-shoes-black-4674110,https://dynamic.zacdn.com/hNzv9b7fJjDX4eSfATMxwMWdMP0=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-7381-0114764-1.jpg
Nike,Pegasus 41 Shoes,Rp 1.023.263,https://www.zalora.co.id/p/nike-pegasus-41-shoes-grey-4473192,https://dynamic.zacdn.com/Ujr1fnxPE_InC3WHZTIMbmby-vs=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-5322-2913744-1.jpg
Nike,Air Max Excee Sneakers,Rp 1.279.000,https://www.zalora.co.id/p/nike-air-max-excee-sneakers-white-2396679,https://dynamic.zacdn.com/2o9FqjiWAEP4_tok7an2z_5y4H4=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-0067-9766932-1.jpg
Nike,Tanjun Ease Shoes,Rp 720.300,https://www.zalora.co.id/p/nike-tanjun-ease-shoes-black-4005599,https://dynamic.zacdn.com/5J9RcS9wFZF35Ew6xrjNe43JYeE=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-2592-9955004-1.jpg
Nike,Pegasus EasyOn Shoes,Rp 1.574.250,https://www.zalora.co.id/p/nike-pegasus-easyon-shoes-black-4673814,https://dynamic.zacdn.com/Byy9m_zKZN30Upplr603sHKVi8g=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-8136-4183764-1.jpg
Nike,Initiator Shoes,Rp 1.199.000,https://www.zalora.co.id/p/nike-initiator-shoes-black-4904683,https://dynamic.zacdn.com/-UVJD3hC8fwom3EvC7tnlmkwku4=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-0946-3864094-1.jpg
Nike,Court Legacy Suede Sneakers,Rp 494.550,https://www.zalora.co.id/p/nike-court-legacy-suede-sneakers-grey-3837232,https://dynamic.zacdn.com/X7xD7Qtob_GEVFy748NI0AL0JAU=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-5227-2327383-1.jpg
Nike,Downshifter 13 Shoes,Rp 719.200,https://www.zalora.co.id/p/nike-downshifter-13-shoes-white-4344685,https://dynamic.zacdn.com/kWPV-sRx9yzTVPXMwwthKQB1q8g=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-1255-5864434-1.jpg
Nike,Court Vision Low Sneakers,Rp 899.250,https://www.zalora.co.id/p/nike-court-vision-low-sneakers-brown-4674377,https://dynamic.zacdn.com/zbsYTJpPRtm_9mniBbo5uLugvZs=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-6215-7734764-1.jpg
Nike,Air Force 1 '07 SE Shoes,Rp 1.729.000,https://www.zalora.co.id/p/nike-air-force-1-07-se-shoes-white-4432523,https://dynamic.zacdn.com/_mXxTTou5mG-ULZjAXgPdW_30DE=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-1295-3252344-1.jpg
Nike,Revolution 7 Shoes,Rp 809.000,https://www.zalora.co.id/p/nike-revolution-7-shoes-grey-4788062,https://dynamic.zacdn.com/tPeoLQeBQ2ue0kTIptPd2Z92XTw=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-5715-2608874-1.jpg
Nike,Uplift SC Shoes,Rp 929.000,https://www.zalora.co.id/p/nike-uplift-sc-shoes-black-4788203,https://dynamic.zacdn.com/anGzSh3AdnG3sv9iSEvaZH7KApc=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-8828-3028874-1.jpg
Nike,Reactx Infinity Run 4 Shoes,Rp 1.213.388,https://www.zalora.co.id/p/nike-reactx-infinity-run-4-shoes-black-4100762,https://dynamic.zacdn.com/wucrJwgqM8uKeKzn1BVCSBhPTvc=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-6917-2670014-1.jpg
Nike,Reactx Infinity Run 4 Shoes,Rp 2.089.000,https://www.zalora.co.id/p/nike-reactx-infinity-run-4-shoes-black-4100706,https://dynamic.zacdn.com/MeA2zIPloSJkTAFDXG4DDnjLQRk=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-6693-6070014-1.jpg
