Brand,Nama Produk,Harga Asli,Harga Diskon,Diskon Persen,Link,Gambar,Material Atas,Material Dalam,Material Sol,Pengikat
Nike,Downshifter 13 Shoes,Rp 899.000,Rp 764.150,-15%,https://www.zalora.co.id/p/nike-downshifter-13-shoes-white-4344685,https://dynamic.zacdn.com/kWPV-sRx9yzTVPXMwwthKQB1q8g=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-1255-5864434-1.jpg,: Mesh,: Textile,: Rubber,: Tali
Nike,Pegasus 41 Shoes,Rp 2.099.000,,,https://www.zalora.co.id/p/nike-pegasus-41-shoes-grey-4473192,https://dynamic.zacdn.com/Ujr1fnxPE_InC3WHZTIMbmby-vs=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-5322-2913744-1.jpg,: Textile,: Textile,: Rubber,: Tali
Nike,V5 RNR Shoes,Rp 1.399.000,Rp 1.189.150,-15%,https://www.zalora.co.id/p/nike-v5-rnr-shoes-black-4788312,https://dynamic.zacdn.com/XocPMqwpFj_8uOLoaswFkvMFmQw=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-4530-2138874-1.jpg,": Mesh, Synthetic",: Textile,: Rubber,: Tali
Nike,Flex Experience Run 12 Road Running Shoes,Rp 919.000,Rp 707.630,-23%,https://www.zalora.co.id/p/nike-flex-experience-run-12-road-running-shoes-black-4473142,https://dynamic.zacdn.com/cIwQ9qYHb7DXjUDl6AUsFer4o4M=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-2441-2413744-1.jpg,: Textile,: Textile,: Rubber,: Tali
Nike,Versair Shoes,Rp 2.099.000,,,https://www.zalora.co.id/p/nike-versair-shoes-black-4432531,https://dynamic.zacdn.com/u7Zpv7KTaTM8aVnMFp0698jPfeE=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-1411-1352344-1.jpg,: Textile,: Textile,: Rubber,: Tali
Nike,Air Max Sc Shoes,Rp 1.099.000,Rp 846.230,-23%,https://www.zalora.co.id/p/nike-air-max-sc-shoes-black-2762144,https://dynamic.zacdn.com/9oZOTORqr3DnsmgG1Bao16NvObg=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-1568-4412672-1.jpg,: Leather/Textile/Mesh,: Textile,: Rubber,-
Nike,Legend Essential 3 Shoes,Rp 819.000,Rp 696.150,-15%,https://www.zalora.co.id/p/nike-legend-essential-3-shoes-black-3757805,https://dynamic.zacdn.com/934JeEaIeQsuFKhXOpQeNlW88o0=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-6308-5087573-1.jpg,: Textile/synthetic,: Textile,: Rubber,-
Nike,Revolution 8 Shoes,Rp 962.140,,,https://www.zalora.co.id/p/nike-revolution-8-shoes-black-4999915,https://dynamic.zacdn.com/g0PzEyw_R-Wt1hfTopeiwjaWptI=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-1171-5199994-1.jpg,: Textile,: Textile,: Rubber,-
Nike,Reactx Infinity Run 4 Shoes,Rp 2.489.000,Rp 1.866.750,-25%,https://www.zalora.co.id/p/nike-reactx-infinity-run-4-shoes-black-4100762,https://dynamic.zacdn.com/wucrJwgqM8uKeKzn1BVCSBhPTvc=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-6917-2670014-1.jpg,: Textile,: Textile,: Rubber,: Tali
Nike,Downshifter 13 Men's Road Running Shoes,Rp 899.000,Rp 764.150,-15%,https://www.zalora.co.id/p/nike-downshifter-13-men-s-road-running-shoes-multi-4899940,https://dynamic.zacdn.com/17Jv3TH4WDvmtyzu2Inybiava80=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-6024-0499984-1.jpg,: Mesh/Synthetic,: Textile,: Rubber,: Tali
Nike,Air Force 1 '07 SE Shoes,Rp 1.729.000,,,https://www.zalora.co.id/p/nike-air-force-1-07-se-shoes-white-4432523,https://dynamic.zacdn.com/_mXxTTou5mG-ULZjAXgPdW_30DE=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-1295-3252344-1.jpg,: Synthetic,: Textile,: Rubber,: Tali
Nike,Uplift SC Shoes,Rp 929.000,,,https://www.zalora.co.id/p/nike-uplift-sc-shoes-black-4788203,https://dynamic.zacdn.com/anGzSh3AdnG3sv9iSEvaZH7KApc=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-8828-3028874-1.jpg,: Textile,: Textile,: Rubber,: Tali
Nike,Initiator Women's Shoes,Rp 1.299.000,Rp 1.104.150,-15%,https://www.zalora.co.id/p/nike-initiator-women-s-shoes-white-4674569,https://dynamic.zacdn.com/V47EwbDcXq0irHn1RXlp7gtsVsE=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-9282-9654764-1.jpg,: Mesh/Synthetic,: Textile,: Rubber,: Tali
Nike,Court Vision Low Next Nature Shoes,Rp 799.000,Rp 679.150,-15%,https://www.zalora.co.id/p/nike-court-vision-low-next-nature-shoes-black-4904206,https://dynamic.zacdn.com/AqVa2eewYtKanWrBFDUPNKgUMDw=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-7606-6024094-1.jpg,: Polyurethane,: Textile,: Rubber,: Tali
Nike,Downshifter 13 Road Running Shoes,Rp 899.000,,,https://www.zalora.co.id/p/nike-downshifter-13-road-running-shoes-red-4904408,https://dynamic.zacdn.com/fa5vMzu-VI5tTh4AhMWjrt2Nezk=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-3641-8044094-1.jpg,: Mesh,: Textile,: Rubber,: Tali
Nike,Initiator Shoes,Rp 1.199.000,Rp 1.079.100,-10%,https://www.zalora.co.id/p/nike-initiator-shoes-black-4904683,https://dynamic.zacdn.com/-UVJD3hC8fwom3EvC7tnlmkwku4=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-0946-3864094-1.jpg,: Textile,: Textile,: Rubber,: Tali
Nike,Downshifter 13 Shoes,Rp 899.000,Rp 809.100,-10%,https://www.zalora.co.id/p/nike-downshifter-13-shoes-black-4344641,https://dynamic.zacdn.com/PO2eugvZt__Gz_7k4eI8CmausVo=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-0334-1464434-1.jpg,: Mesh,: Textile,: Rubber,: Tali
Nike,Air Max Excee Shoes,Rp 1.549.000,Rp 1.161.750,-25%,https://www.zalora.co.id/p/nike-air-max-excee-shoes-white-4674583,https://dynamic.zacdn.com/-W6-j5JVi9DIL-AcrKFnLCHlryU=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-6530-3854764-1.jpg,: Mesh/Synthetic/Suede,: Textile,: Rubber,: Tali
